# Next run begins here.
Lifetime (time steps): 159 	 Distance traveled: 460 	 Average speed: 2.89 	 Overall route: [13, 11, 10, 9, 3, 6, 7]
Lifetime (time steps): 238 	 Distance traveled: 908 	 Average speed: 3.82 	 Overall route: [25, 24, 5, 4, 21, 1, 18, 0]
Lifetime (time steps): 258 	 Distance traveled: 713 	 Average speed: 2.76 	 Overall route: [23, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 241 	 Distance traveled: 906 	 Average speed: 3.76 	 Overall route: [26, 5, 4, 21, 1, 16, 17, 27]
Lifetime (time steps): 181 	 Distance traveled: 456 	 Average speed: 2.52 	 Overall route: [8, 9, 10, 15, 14]
Lifetime (time steps): 238 	 Distance traveled: 713 	 Average speed: 3.00 	 Overall route: [23, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 221 	 Distance traveled: 621 	 Average speed: 2.81 	 Overall route: [12, 11, 10, 15, 1, 18, 0]
Lifetime (time steps): 183 	 Distance traveled: 540 	 Average speed: 2.95 	 Overall route: [25, 24, 6, 3, 9, 8]
Lifetime (time steps): 206 	 Distance traveled: 568 	 Average speed: 2.76 	 Overall route: [7, 6, 3, 9, 10, 15, 14]
Lifetime (time steps): 193 	 Distance traveled: 534 	 Average speed: 2.77 	 Overall route: [7, 6, 3, 9, 10, 11, 12]
Lifetime (time steps): 60 	 Distance traveled: 305 	 Average speed: 5.08 	 Overall route: [26, 5, 24, 6, 7]
Lifetime (time steps): 219 	 Distance traveled: 646 	 Average speed: 2.95 	 Overall route: [25, 24, 6, 3, 9, 10, 11, 13]
Lifetime (time steps): 164 	 Distance traveled: 643 	 Average speed: 3.92 	 Overall route: [22, 21, 1, 15, 14]
Lifetime (time steps): 223 	 Distance traveled: 581 	 Average speed: 2.61 	 Overall route: [2, 16, 1, 3, 9, 8]
Lifetime (time steps): 201 	 Distance traveled: 626 	 Average speed: 3.11 	 Overall route: [8, 9, 3, 4, 5, 26]
